downsampling_rate,frame_lenght_in_s,dbFSthresh,duration_time,accuracy,latency
16000.0,0.0002,-90.0,0.05,0.9688888888888889,9.14951244990031
16000.0,0.0002,-90.0,0.01,0.9833333333333333,9.185978836483425
16000.0,0.0002,-90.0,0.005,0.9855555555555555,9.292130205366346
16000.0,0.0002,-80.0,0.1,0.8666666666666667,9.853889412350126
16000.0,0.0002,-80.0,0.15,0.7488888888888889,9.377565383911133
16000.0,0.0002,-80.0,0.2,0.6244444444444445,9.24743096033732
16000.0,0.0002,-80.0,0.05,0.9366666666666666,9.24316856596205
16000.0,0.0002,-80.0,0.01,0.9777777777777777,9.246918095482721
16000.0,0.0002,-80.0,0.005,0.98,9.190635681152344
16000.0,0.002,-130.0,0.1,0.9744444444444444,8.73205476337009
16000.0,0.002,-130.0,0.15,0.9488888888888889,8.677166567908392
16000.0,0.002,-130.0,0.2,0.9255555555555556,8.689704471164278
16000.0,0.002,-130.0,0.05,0.9833333333333333,8.67806593577067
16000.0,0.002,-130.0,0.01,0.9877777777777778,8.690402507781982
16000.0,0.002,-130.0,0.005,0.9866666666666667,8.649540212419298
16000.0,0.002,-120.0,0.1,0.9522222222222222,8.644763363732231
16000.0,0.002,-120.0,0.15,0.9166666666666666,8.645410007900661
16000.0,0.002,-120.0,0.2,0.8477777777777777,8.670663303799099
16000.0,0.002,-120.0,0.05,0.9666666666666667,8.663976987202963
16000.0,0.002,-120.0,0.01,0.9822222222222222,8.634419706132677
16000.0,0.002,-120.0,0.005,0.9833333333333333,8.668118317921957
16000.0,0.002,-110.0,0.1,0.9033333333333333,8.633383909861246
16000.0,0.002,-110.0,0.15,0.8388888888888889,8.685639964209662
16000.0,0.002,-110.0,0.2,0.7577777777777778,8.6820920308431
16000.0,0.002,-110.0,0.05,0.9455555555555556,8.701576656765408
16000.0,0.002,-110.0,0.01,0.9677777777777777,8.683905866410997
16000.0,0.002,-110.0,0.005,0.9722222222222222,8.700250254737005
16000.0,0.002,-100.0,0.1,0.8277777777777777,9.008677270677355
16000.0,0.002,-100.0,0.15,0.7244444444444444,9.57562420103285
16000.0,0.002,-100.0,0.2,0.6233333333333333,9.05439986122979
16000.0,0.002,-100.0,0.05,0.9,9.019264909956192
16000.0,0.002,-100.0,0.01,0.9455555555555556,9.06342241499159
16000.0,0.002,-100.0,0.005,0.9544444444444444,8.715657393137615
